Score,Name,',Tank,Attachments,Game Mode,Build
2.244 mil,S3CR3T,UnderseerOR.png (https://dl.airtable.com/5nvuJakVSyU69g8Wzukk_UnderseerOR.png),Underseer,Kepernyofelvetel_546.png (https://dl.airtable.com/zsoaBzBlQ4LsbpW89hYn_Kepernyofelvetel_546.png),4TDM,
2.235 mil,Candy,TripletOR.png (https://dl.airtable.com/IvEUcLYFQA2UppXGMzmw_TripletOR.png),Triplet,unknown.png (https://dl.airtable.com/hlmSVtCwTSKZvQxHe07d_unknown.png),4TDM,
2.228 mil,S3CR3T,Hybrid-Blue.jpg (https://dl.airtable.com/SvDCCegFS4aURh68VAVN_Hybrid-Blue.jpg),Hybrid,Kepernyofelvetel_677.png (https://dl.airtable.com/GEMa8UVZRQirukTPOzYw_Kepernyofelvetel_677.png),FFA,
2.225 mil,ZeZo,AnnihilatorOR.png (https://dl.airtable.com/Bnq0qfLSGeDaMZPJah0w_AnnihilatorOR.png),Annihilator,Screenshot_643.png (https://dl.airtable.com/A8pQNpDlTpqFKcIO1Xmw_Screenshot_643.png),FFA,
2.220 mil,S3CR3T,PoacherOR.png (https://dl.airtable.com/cz9lIBvlQjGabkxVfpvl_PoacherOR.png),Poacher ,Kepernyofelvetel_44.png (https://dl.airtable.com/5tTjlETDRXywzQcL1Mb4_Kepernyofelvetel_44.png),FFA,
2.214 mil,Oganesson 118,TwinOR.png (https://dl.airtable.com/zFt99d9wQEGIYmO1YsBD_TwinOR.png),Twin,unknown.png (https://dl.airtable.com/FqwyN3AcQmiinM8exhTl_unknown.png),FFA,
2.195 mil,Soog,NecromancerOR.png (https://dl.airtable.com/NJDELyESzyo2zE638IDL_NecromancerOR.png),Necromancer,"Soog_2.20mil_Necro.mp4 (https://dl.airtable.com/MMRBfeeTPeJHSBH19hFH_Soog_2.20mil_Necro.mp4),7msqOP.jpg (https://dl.airtable.com/YXJTwE86QiSN9XXI0l8S_7msqOP.jpg),z19NxQ.jpg (https://dl.airtable.com/3RiE7P5WQpS0cyVo3dtV_z19NxQ.jpg)",4TDM,
2.187 mil,S3CR3T,OverlordOR.png (https://dl.airtable.com/QFI6ztqhRLyY3suabMx3_OverlordOR.png),Overlord,Kepernyofelvetel_604.png (https://dl.airtable.com/tB2R6c5IRUePGYDk9RLi_Kepernyofelvetel_604.png),4TDM,
2.186 mil,𝑉𝓪𝓷𝓮𝓼𝓼𝓪,Tm1g5oc.png (https://dl.airtable.com/rdh6uUfOSvmffR5TVH2g_Tm1g5oc.png),Smasher,unknown.png (https://dl.airtable.com/3mFAejNCRA2kviJgNyvR_unknown.png),FFA,
2.169 mil,Denied,AnnihilatorOR.png (https://dl.airtable.com/Bnq0qfLSGeDaMZPJah0w_AnnihilatorOR.png),Annihilator,image0.png (https://dl.airtable.com/CTOAzIDlTGebzQjc6Kjt_image0.png),FFA,
2.165 mil,Stradpult,Skimmer-Blue.png (https://dl.airtable.com/0sR0lRoZT7SQiIhTXuMt_Skimmer-Blue.png),Skimmer,unknown.png (https://dl.airtable.com/qlsVFPqqTue3AmiknzmZ_unknown.png),Open 3/4 TDM,
2.147 mil,Road,AnnihilatorOR.png (https://dl.airtable.com/Bnq0qfLSGeDaMZPJah0w_AnnihilatorOR.png),Annihilator,AHmF5rI.png (https://dl.airtable.com/85SHpcVTFeXirBdCxozi_AHmF5rI.png),4 Team Domination,
2.133 mil,Denied,1gHxtRn.png (https://dl.airtable.com/XIXDDMNLTKiUAFxbqmcY_1gHxtRn.png),Musket,arras.io_-_Google_Chrome_11_11_2018_19_23_13.png (https://dl.airtable.com/IqKxhmoUQJylMFlSqlFX_arras.io_-_Google_Chrome_11_11_2018_19_23_13.png),Open 3/4 TDM,
2.130 mil,X,TwinOR.png (https://dl.airtable.com/zFt99d9wQEGIYmO1YsBD_TwinOR.png),Twin,unknown.png (https://dl.airtable.com/BegAck2VQWuWigz4E0EZ_unknown.png),FFA,
2.121 mil,S3CR3T,Skimmer-Blue.png (https://dl.airtable.com/0sR0lRoZT7SQiIhTXuMt_Skimmer-Blue.png),Skimmer,Arras-Skimmer_21m.png (https://dl.airtable.com/uNVq63LSVGIl7jsAJRZ5_Arras-Skimmer_21m.png),FFA,
2.115 mil,Oganesson 118,Skimmer-Blue.png (https://dl.airtable.com/0sR0lRoZT7SQiIhTXuMt_Skimmer-Blue.png),Skimmer,unknown.png (https://dl.airtable.com/RIqZcrIMQYWV2GV6996i_unknown.png),Open 3/4 TDM,
